,title,description,price,points,lda_label,2,price_bin
14752,François Lurton 2013 Chacayes Malbec (Valle de Uco),"Ripe, dark, baked aromas of pastry, turned-up earth, campfire and wild-berry fruits set up a seriously deep and tannic palate that's stacked with black-fruit power, toasty oak and intensity. This tastes blackened, toasty and chocolaty on top of core blackberry and cassis flavors, while an oaky finish with peppery spice is just right for this type of burly wine. Drink through 2022.",80.0,93,2,0.9678504073687949,above 40
51587,O. Fournier 2008  Ribera del Duero,"Cool berry, graphite, cola and prune are the lead aromas on this ripe RDD. In the mouth, choppy tannins and firm acids create a strong, edgy feel. Flavors of cassis, wild berry, coconut and vanilla announce ripeness and plenty of oak. It finishes with abrupt tannins, tons of residual flavor and weight. Drink now through 2021.",85.0,92,2,0.9653759765831169,above 40
7053,Viña Cobos 2012 Bramare Marchiori Vineyard Malbec (Luján de Cuyo),"Toasty woodsmoke aromas are matched by wild berry, cassis, cherry and marshmallow scents on the nose of this huge Malbec. Creamy feeling but also inky and fully concentrated, this tastes like black cherry and cough drops. Candied ripeness carries onto the finish along with chocolate and dry spice flavors. Drink through 2022.",90.0,94,2,0.9608596432791002,above 40
70099,Colomé 2010 Reserva Malbec (Salta),"Take note, this could be the best wine Colomé has ever bottled. Cedary oak aromas grace ripe, almost desiccated wild berry notes that are slightly herbal and sauvage. A well-layered mouthfeel is ideal in power and precision. Requisite blackberry, cassis, toast and peppery flavors finish dry and long, with little heat or burn. Drink through 2021.",90.0,95,2,0.954988737253632,above 40
20677,Bodega Catena Zapata 2010 Nicasia Vineyard Malbec (Mendoza),"Laser-like cassis and black cherry aromas come with an accent of toasted oak. A pure, well-balanced palate isn't at all pushy or heavy, while snappy, fresh flavors of raspberry and spiced plum finish racy, toasty and the slightest bit herbal. Drink through 2022.",120.0,93,2,0.9526197073964939,above 40
107670,Elias Mora 2009 Reserva  (Toro),"Earthy, foresty berry aromas are loaded with oaky accents of coconut, vanilla and tobacco. This is fiercely tannic, but there's enough fruit and structure to handle severe tannic bite. Ripe, raisiny flavors come with tobacco and herbal accents, while the finish is pounding and full of chocolate, fig, coffee and herbal flavors. Drink through 2025.",120.0,92,2,0.9653783802482695,above 40
44701,Errazuriz 2011 La Cumbre Syrah (Aconcagua Valley),"Cool, earthy, foresty aromas dance with sweet berry and spice scents to form a superb nose. This offers an exemplary mix of weight and acidity, while lively berry flavors are meaty, complex and show mild herbal notes, peppery spice and juicy length on the finish. Definitely one of Chile's best Syrahs. Drink through 2019.",125.0,93,2,0.9624894041565627,above 40
23679,Pascual Toso 2013 Magdalena Toso Barrancas Vineyards Paul Hobbs Barrels Selection Limited 23 Barrels Malbec-Cabernet (Mendoza),"Cool, piercing aromas suggest wood grain and maple alongside blackberry and cassis scents. This massive wine is tannic, but meaty and friendly at its base. Savory, inky flavors of plum and floral-berry fruits finish with strong oak; fortunately this has the structure and fruit to handle it. Drink through 2024.",130.0,93,2,0.9549895911841035,above 40
59867,Emilio Moro 2011 Malleolus de Valderramiro  (Ribera del Duero),"Dark, toasty aromas suggest creosote and chimney smoke; throw in black olive, blackberry, dark plum and mocha scents and this is one hefty package. Fully tannic, with toasty chocolaty flavors of black fruits and oak-based spice, this finishes full and fierce, but not mean. Drink from 2019–2035.",150.0,95,2,0.9608623102625417,above 40
28573,Teso La Monja 2008 Alabaster  (Toro),"A dark bruiser with heavy mocha, chocolate, tobacco, cola and crusty leather aromas in addition to massive fruit scents. It's huge in the mouth, with broad, grabby tannins, pumped-up acids and wide berry, vanilla and coconut flavors. Dark like coffee on the finish, with titanic tannins and foundation. Best from 2013 through 2016.",243.0,93,2,0.9608602017513937,above 40
