,title,description,price,points,lda_label,8,price_bin
98393,Charles Smith 2013 Royal City Northridge Vineyard Syrah (Columbia Valley (WA)),"The aromas pop, with notes of stargazer lilies, brown stems, green olive and smoked meat, revealing more on each swirl. The fruit and savory flavors are rich and layered, earthshaking in their intensity, with a lengthy finish that only heightens the interest. It's a complete showstopper.",140.0,96,8,0.9356987313971757,above 40
74744,Charles Smith 2008 Royal City Syrah (Columbia Valley (WA)),"An Amaro-like mix of bitters and herbs; this is exceptionally dense and dark. The fruit is a grace note; the big flavors come from herb, earth, rock, barrel and more. Licorice, baking spices, smoke, black cherry, Bourbon barrel, and on it goes. Huge and dense and seemingly endless.",140.0,98,8,0.959084125639778,above 40
75952,Nashwauk 2010 Beacon Shiraz (McLaren Vale),"Nashwauk is Kaesler's McLaren Vale project, first released from the 2006 vintage. The 2010 is full bodied, creamy-textured and plush, filled with dark fruit and hints of vanilla, asphalt, maple syrup and mocha. The supple tannins enhance rather than impede the finish, contributing scary length. Drink now–2030.",145.0,95,8,0.9549869473053726,above 40
59862,Hall 2013 Kathryn Hall Cabernet Sauvignon (Napa Valley),"This wine is made to highlight the vintage and best vineyards, relying heavily on the producer's top-end site, Sacrashe. A hugely constructed wine, bold and brawny, it also manages to be soft and velvety, allowing for a greater contribution of savory elements than sweet, from leather to black pepper to Mexican chocolate. It pushes the boundaries on decadence in mysterious ways.",165.0,95,8,0.9499920762816049,above 40
7963,Hall 2013 Kathryn Hall Cabernet Sauvignon (Napa Valley),"This wine is made to highlight the vintage and best vineyards, relying heavily on the producer's top-end site, Sacrashe. A hugely constructed wine, bold and brawny, it also manages to be soft and velvety, allowing for a greater contribution of savory elements than sweet, from leather to black pepper to Mexican chocolate. It pushes the boundaries on decadence in mysterious ways.",165.0,95,8,0.9499920762816049,above 40
70835,Marchesi Antinori 2004 Solaia Red (Toscana),"The 2004 Solaia is dense and concentrated with loads of character and defining aromatics: plump blackberry, chocolate fudge, exotic spice, peppercorn and smooth balsam notes. The real pleasure comes in the mouth where it delivers smooth elegance and an extra long finish.",170.0,96,8,0.9549882124684647,above 40
67962,Masi 2003 Mazzano  (Amarone della Valpolicella Classico),"This has enormous richness and intensity, with penetrating aromas of leather, tobacco, spice, dark fruit and dark chocolate. On the palate, it's inky, rich and supersmooth. This is one of the best Italian wines ever made from the difficult 2003 vintage.",175.0,96,8,0.9437410366209122,above 40
104003,Alpha Omega 2012 Beckstoffer To Kalon Cabernet Sauvignon (Oakville),"This 100% varietal, barrel-fermented wine from the hallowed site delivers a grip of tension and balanced weight, providing power within its layers of texture. Earthy and pungent with tobacco and herb scents, it offers leather, cedar and black cherry flavors in equal amounts, finishing with length and grace.",250.0,97,8,0.965376441889952,above 40
104001,Alpha Omega 2012 Beckstoffer Missouri Hopper Cabernet Sauvignon (Oakville),"From another of the grower's impressive, coveted sites, this wine imparts soft, dusty cherry, cassis and pomegranate notes, with a luxurious tease of vanilla and coconut macaroon. Full-bodied and robustly built, it's 100% varietal and barrel-fermented and finishes on a compelling streak of cedar, herb and graphite.",250.0,98,8,0.9590810452413532,above 40
112791,Gaja 2009 Sorì San Lorenzo Nebbiolo (Langhe),"There's always something magical about Gaja's Sorì San Lorenzo. It's the intensity and fullness of the wine that penetrates to the back of the palate and offers many long minutes of persistency on the finish. The bouquet is redolent of black fruit, leather, spice, tar, licorice and dried herb.",495.0,96,8,0.9437387907638314,above 40
